Mês;Mês2;GR;N.PoscB;PoscB;Rul.Pos;Posc;N.ResB;Posc2;Cod1;CodG;6810/910;6810/911;Coef_Fre;RecDe;RecIz;Coluna1;Coluna2
200616;200616109;D;17;9;0;1;0;1;D,17,1;D,17,1,0;,;2006;-8,5;8;;;
200703;200703053;D;33;23;0;1;0;1;D,33,1;D,33,1,0;,;2007;-22,5;22;;;
200725;200725005;D;6;11;0;1;0;1;D,6,1;D,6,1,0;,;2007;-10,5;10;;;
201029;201029051;D;0;1;0;1;0;1;D,0,1;D,0,1,0;,;2010;-0,5;0;;;
201222;201222045;D;21;6;0;1;0;1;D,21,1;D,21,1,0;,;2012;-5,5;5;;;
200611;200611123;I;12;34;0;1;0;1;I,12,1;I,12,1,0;,;2006;-33,5;;4;;
200616;200616096;I;35;35;0;1;0;1;I,35,1;I,35,1,0;,;2006;-34,5;;3;;
210107;210107023;D;19;4;0;1;0;1;D,19,1;D,19,1,0;,;2101;-3,5;3;34;;
200603;200603076;D;17;9;0;1;1;24;D,17,1;D,17,1,1;,;2006;-8,5;22;;;
200706;200706023;D;36;14;0;1;1;24;D,36,1;D,36,1,1;,;2007;-13,5;27;;;
200709;200709041;D;30;16;0;1;1;24;D,30,1;D,30,1,1;,;2007;-15,5;29;;;
200722;200722039;D;30;16;0;1;1;24;D,30,1;D,30,1,1;,;2007;-15,5;29;;;
201203;201203029;D;0;1;0;1;1;24;D,0,1;D,0,1,1;,;2012;-0,5;14;;;
210103;210103002;I;21;6;0;1;1;24;I,21,1;I,21,1,1;,;2101;-5,5;;18;;
200608;200608040;D;13;13;0;1;2;7;D,13,1;D,13,1,2;,;2006;-12,5;6;;;
200612;200612070;D;21;6;0;1;2;7;D,21,1;D,21,1,2;,;2006;-5,5;36;;;
200612;200612144;D;25;8;0;1;2;7;D,25,1;D,25,1,2;,;2006;-7,5;1;;;
201208;201208083;D;4;5;0;1;2;7;D,4,1;D,4,1,2;,;2012;-4,5;35;;;
200606;200606055;I;3;36;0;1;2;7;I,3,1;I,3,1,2;,;2006;-35,5;;8;;
200623;200623064;I;3;36;0;1;2;7;I,3,1;I,3,1,2;,;2006;-35,5;;8;;
200623;200623120;I;7;32;0;1;2;7;I,7,1;I,7,1,2;,;2006;-31,5;;12;;
200702;200702148;I;29;31;0;1;2;7;I,29,1;I,29,1,2;,;2007;-30,5;;13;;
200720;200720014;I;3;36;0;1;2;7;I,3,1;I,3,1,2;,;2007;-35,5;;8;;
200604;200604006;D;17;9;0;1;3;36;D,17,1;D,17,1,3;,;2006;-8,5;10;;;
200613;200613003;D;34;10;0;1;3;36;D,34,1;D,34,1,3;,;2006;-9,5;11;;;
200703;200703013;D;36;14;0;1;3;36;D,36,1;D,36,1,3;,;2007;-13,5;15;;;
200808;200808026;I;29;31;0;1;3;36;I,29,1;I,29,1,3;,;2008;-30,5;;5;;
201229;201229024;I;19;4;0;1;3;36;I,19,1;I,19,1,3;,;2012;-3,5;;32;;
200626;200626075;D;17;9;0;1;4;5;D,17,1;D,17,1,4;,;2006;-8,5;4;;;
200608;200608079;I;35;35;0;1;4;5;I,35,1;I,35,1,4;,;2006;-34,5;;7;;
200606;200606058;D;21;6;0;1;5;20;D,21,1;D,21,1,5;,;2006;-5,5;23;;;
200610;200610158;D;25;8;0;1;5;20;D,25,1;D,25,1,5;,;2006;-7,5;25;;;
200614;200614097;D;6;11;0;1;5;20;D,6,1;D,6,1,5;,;2006;-10,5;28;;;
200626;200626021;D;34;10;0;1;5;20;D,34,1;D,34,1,5;,;2006;-9,5;27;;;
200717;200717035;D;6;11;0;1;5;20;D,6,1;D,6,1,5;,;2007;-10,5;28;;;
201207;201207047;D;15;3;0;1;5;20;D,15,1;D,15,1,5;,;2012;-2,5;20;;;
201211;201211093;D;2;7;0;1;5;20;D,2,1;D,2,1,5;,;2012;-6,5;24;;;
200608;200608027;I;35;35;0;1;5;20;I,35,1;I,35,1,5;,;2006;-34,5;;22;;
200613;200613106;I;12;34;0;1;5;20;I,12,1;I,12,1,5;,;2006;-33,5;;23;;
200605;200605008;D;27;12;0;1;6;11;D,27,1;D,27,1,6;,;2006;-11,5;1;;;
200718;200718069;D;36;14;0;1;6;11;D,36,1;D,36,1,6;,;2007;-13,5;3;;;
201211;201211059;D;2;7;0;1;6;11;D,2,1;D,2,1,6;,;2012;-6,5;33;;;
201030;201030038;I;21;6;0;1;6;11;I,21,1;I,21,1,6;,;2010;-5,5;;5;;
201216;201216070;I;4;5;0;1;6;11;I,4,1;I,4,1,6;,;2012;-4,5;;6;;
